"","x","y","stem.density","basal.area","biomass"
"16124",532000,956000,134.388817211259,42.2117274858097,83691.4453588466
"16125",540000,956000,139.51641556322,37.6582953581001,56287.9119630886
"16126",548000,956000,212.232472448579,77.4165425396233,230462.167784506
"16127",556000,956000,132.639668753421,48.3722600016716,162291.849173476
"16128",564000,956000,162.748097126211,61.3163051846639,224817.514860148
"16129",572000,956000,135.408486830756,51.3960457744582,92360.2486534463
"16130",580000,956000,100.574604596127,32.4660514632619,56963.4429609675
"16131",588000,956000,95.9665833867832,34.7266681316827,73969.4368125614
"16132",596000,956000,143.01008242061,36.0678047976007,86548.886469383
"16133",604000,956000,176.570158628217,30.3550950155082,47293.7259112992
"16134",612000,956000,163.331445128378,45.3606196345221,75984.9050769587
"16135",620000,956000,114.498845600995,40.2449093875455,58558.7926887992
"16136",628000,956000,160.490497550391,50.2860878811975,91994.9251451832
"16137",636000,956000,200.616222618432,45.0980543325156,95914.548506733
"16138",644000,956000,129.613780174335,34.5138088681792,81824.9517062294
"16139",652000,956000,236.107353174468,33.3581388313299,103013.675837918
"16140",660000,956000,53.0929445538781,14.0641810370048,30487.921555832
"16143",684000,956000,89.4653336107353,26.8355729556897,74685.4056678849
"16144",692000,956000,143.824263085564,42.6246402322368,99532.9855083238
"16145",7e+05,956000,230.116868864902,42.2017124805913,104667.563441067
"16155",780000,956000,141.124212406585,50.1970831248478,144072.617591173
"16156",788000,956000,344.353367231979,68.4410280065713,167727.877417142
"16159",812000,956000,102.76429439314,30.3967515781811,78173.8220604969
"16160",820000,956000,116.7162888166,41.7132946993544,47037.6780611975
"16162",836000,956000,89.9326341451267,34.7654628948089,86008.0032497989
"16163",844000,956000,108.176935944363,36.6163320246242,96990.6364335197
"16164",852000,956000,90.4824309138118,21.8686615361942,45649.2674627767
"16165",860000,956000,160.237100251249,87.4032690377026,700486.097079558
"16166",868000,956000,189.310696741248,48.0668491098039,97401.5727166676
"16167",876000,956000,131.184416911443,61.6531827163351,250940.514568366
"16168",884000,956000,125.52563329417,48.2356263104722,138388.690733294
"16169",892000,956000,182.122876108857,65.7736284645822,253984.305783302
"16170",9e+05,956000,158.617296906212,42.9119121247721,107277.423863463
"16171",908000,956000,142.825578373289,55.4523056737491,411851.812835284
"16172",916000,956000,175.928411729413,31.2090721552654,46300.4876999024
"16173",924000,956000,262.857018433426,45.9369068272994,263807.620495526
"16174",932000,956000,140.457114485944,38.6152122432968,125234.552953496
"16175",940000,956000,166.079921915347,42.6643268576216,74099.794278412
"16176",948000,956000,213.181500923717,52.3771225038217,86909.8989867032
"16177",956000,956000,253.246531910691,53.9441988485882,320580.172131905
"16178",964000,956000,160.745757227761,42.9224523006519,95571.8745046453
"16179",972000,956000,247.937831940893,67.0409829210476,149094.134198721
"16180",980000,956000,144.467491144248,37.0219394436664,107302.141506497
"16181",988000,956000,214.692449571948,41.2226965933057,54993.0806378293
"16182",996000,956000,91.7128828841588,12.9823103045246,24578.8947200023
"16230",-44000,948000,0,0,0
"16231",-36000,948000,0,0,0
"16232",-28000,948000,0,0,0
"16233",-20000,948000,0,0,0
"16234",-12000,948000,0.0560654362381301,0.0066476535514095,89.9529373750746
"16235",-4000,948000,6.16842631290065,1.52472931109969,8546.59827170762
"16236",4000,948000,0.34997710450004,0.0751904709379361,936.086953558558
"16237",12000,948000,0,0,0
"16238",20000,948000,0,0,0
"16239",28000,948000,0,0,0
"16240",36000,948000,0,0,0
"16241",44000,948000,0,0,0
"16242",52000,948000,0,0,0
"16243",60000,948000,0,0,0
"16244",68000,948000,0,0,0
"16245",76000,948000,10.1912943113097,2.01881319959912,12818.4435009147
"16246",84000,948000,1.93409838379748,0.163436122381274,851.420576955972
